"State FIPS Code","County FIPS Code","5-digit FIPS Code","State Abbreviation","Name","Poor Mental Health Days raw value","Poor Mental Health Days numerator","Poor Mental Health Days denominator","Poor Mental Health Days CI low","Poor Mental Health Days CI high","Poor or Fair Health raw value","Poor or Fair Health numerator","Poor or Fair Health denominator","Poor or Fair Health CI low","Poor or Fair Health CI high","Mental Health Providers raw value","Mental Health Providers numerator","Mental Health Providers denominator","Mental Health Providers CI low","Mental Health Providers CI high","Ratio of population to mental health providers.","Frequent Mental Distress raw value","Frequent Mental Distress numerator","Frequent Mental Distress denominator","Frequent Mental Distress CI low","Frequent Mental Distress CI high","Suicides raw value","Suicides numerator","Suicides denominator","Suicides CI low","Suicides CI high","Crude suicide rate","Suicides (AIAN)","Suicides CI low (AIAN)","Suicides CI high (AIAN)","Suicides (Asian)","Suicides CI low (Asian)","Suicides CI high (Asian)","Suicides (Black)","Suicides CI low (Black)","Suicides CI high (Black)","Suicides (Hispanic)","Suicides CI low (Hispanic)","Suicides CI high (Hispanic)","Suicides (White)","Suicides CI low (White)","Suicides CI high (White)","Suicides (NHOPI)","Suicides CI low (NHOPI)","Suicides CI high (NHOPI)","Feelings of Loneliness raw value","Feelings of Loneliness numerator","Feelings of Loneliness denominator","Feelings of Loneliness CI low","Feelings of Loneliness CI high","Population raw value","Population numerator","Population denominator","Population CI low","Population CI high","Lack of Social and Emotional Support raw value","Lack of Social and Emotional Support numerator","Lack of Social and Emotional Support denominator","Lack of Social and Emotional Support CI low","Lack of Social and Emotional Support CI high"
"statecode","countycode","fipscode","state","county","v042_rawvalue","v042_numerator","v042_denominator","v042_cilow","v042_cihigh","v002_rawvalue","v002_numerator","v002_denominator","v002_cilow","v002_cihigh","v062_rawvalue","v062_numerator","v062_denominator","v062_cilow","v062_cihigh","v062_other_data_1","v145_rawvalue","v145_numerator","v145_denominator","v145_cilow","v145_cihigh","v161_rawvalue","v161_numerator","v161_denominator","v161_cilow","v161_cihigh","v161_other_data_1","v161_race_aian","v161_race_aian_cilow","v161_race_aian_cihigh","v161_race_asian","v161_race_asian_cilow","v161_race_asian_cihigh","v161_race_black","v161_race_black_cilow","v161_race_black_cihigh","v161_race_hispanic","v161_race_hispanic_cilow","v161_race_hispanic_cihigh","v161_race_white","v161_race_white_cilow","v161_race_white_cihigh","v161_race_nhopi","v161_race_nhopi_cilow","v161_race_nhopi_cihigh","v183_rawvalue","v183_numerator","v183_denominator","v183_cilow","v183_cihigh","v051_rawvalue","v051_numerator","v051_denominator","v051_cilow","v051_cihigh","v184_rawvalue","v184_numerator","v184_denominator","v184_cilow","v184_cihigh"
"00","000","00000","US","United States","5.1498306475",NA,NA,"5.0897777097","5.2098835853","0.173",NA,NA,"0.17","0.175","0.0033249372","1113571","334914895",NA,NA,"300.75755834","0.163",NA,NA,"0.161","0.166","13.987736233","239283","1650072382","13.930438618","14.045033847","14.501363856","24.770371945","23.87276096","25.66798293","6.6807987074","6.5202153443","6.8413820706","8.0365443531","7.9137018597","8.1593868465","7.6407464007","7.5400987285","7.7413940729","17.522158157","17.438375759","17.605940555","13.120446803","11.852326719","14.388566886","0.33",NA,NA,"0.326","0.334","334914895",NA,NA,NA,NA,"0.251",NA,NA,NA,NA
"01","000","01000","AL","Alabama","5.7668916274",NA,NA,"5.324151261","6.2096319938","0.218",NA,NA,"0.2","0.236","0.0014622779","7470","5108468",NA,NA,"683.86452477","0.187",NA,NA,"0.17","0.205","16.145499614","4085","24826761","15.636269851","16.654729376","16.454019113","8.1500082674","3.9082457519","14.988155378","8.9515541211","6.1618379695","12.571310138","7.3607159687","6.6950532614","8.026378676","7.0026693638","5.4986016153","8.7912101218","20.478861892","19.764780754","21.19294303",NA,NA,NA,"0.334",NA,NA,"0.31","0.358","5108468",NA,NA,NA,NA,"0.271",NA,NA,NA,NA
"01","001","01001","AL","Autauga County","5.832900762",NA,NA,"4.7162058496","6.9869835732","0.177",NA,NA,"0.157","0.198","0.0003645885","22","60342",NA,NA,"2742.8181818","0.18",NA,NA,"0.162","0.2","15.583026865","47","286469","11.366366725","20.851315982","16.406661803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.31524127","13.860950615","26.203305788",NA,NA,NA,"0.343",NA,NA,"0.294","0.395","60342",NA,NA,NA,NA,"0.24",NA,NA,"0.208","0.277"
"01","003","01003","AL","Baldwin County","6.020777623",NA,NA,"5.024657466","7.0539756892","0.17",NA,NA,"0.152","0.191","0.0012070673","306","253507",NA,NA,"828.45424837","0.182",NA,NA,"0.164","0.202","19.20718595","221","1156272","16.554759785","21.859612115","19.113149847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.50015945","18.384914227","24.615404673",NA,NA,NA,"0.316",NA,NA,"0.275","0.359","253507",NA,NA,NA,NA,"0.225",NA,NA,"0.196","0.257"
"01","005","01005","AL","Barbour County","6.3399860323",NA,NA,"5.1647484845","7.663822826","0.284",NA,NA,"0.256","0.312","0.0002847265","7","24585",NA,NA,"3512.1428571","0.211",NA,NA,"0.19","0.233","14.787585791","19","123826","8.6143136631","23.676357348","15.344111899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.829840937","10.897377943","39.059615461",NA,NA,NA,"0.357",NA,NA,"0.306","0.412","24585",NA,NA,NA,NA,"0.307",NA,NA,"0.268","0.349"
"01","007","01007","AL","Bibb County","6.5659451695",NA,NA,"5.4295820298","7.8690363129","0.251",NA,NA,"0.226","0.277","0.0003658314","8","21868",NA,NA,"2733.5","0.213",NA,NA,"0.193","0.235","17.838850899","19","111412","10.57243361","28.193075213","17.05381826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.282535877","14.391369707","38.376875517",NA,NA,NA,"0.363",NA,NA,"0.31","0.416","21868",NA,NA,NA,NA,"0.29",NA,NA,"0.25","0.328"
"01","009","01009","AL","Blount County","6.4487020436",NA,NA,"5.2757228779","7.6959614683","0.226",NA,NA,"0.202","0.251","0.0002842049","17","59816",NA,NA,"3518.5882353","0.211",NA,NA,"0.19","0.233","23.299702693","67","292098","17.904131291","29.810441168","22.937507275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.890467778","20.616767453","34.472366097",NA,NA,NA,"0.364",NA,NA,"0.312","0.418","59816",NA,NA,NA,NA,"0.264",NA,NA,"0.228","0.302"
"01","011","01011","AL","Bullock County","6.5114628472",NA,NA,"5.2898470542","7.7895353369","0.349",NA,NA,"0.319","0.381","0.0002020814","2","9897",NA,NA,"4948.5","0.226",NA,NA,"0.204","0.248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.372",NA,NA,"0.32","0.43","9897",NA,NA,NA,NA,"0.345",NA,NA,"0.302","0.39"
"01","013","01013","AL","Butler County","6.2540225973",NA,NA,"5.0901205339","7.4769334738","0.26",NA,NA,"0.234","0.289","0.0008704167","16","18382",NA,NA,"1148.875","0.214",NA,NA,"0.193","0.237","14.795109739","15","96166","7.8777728242","25.300088243","15.598028409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.058399151","13.008258968","46.625674153",NA,NA,NA,"0.355",NA,NA,"0.298","0.418","18382",NA,NA,NA,NA,"0.293",NA,NA,"0.25","0.341"
"01","015","01015","AL","Calhoun County","6.5870060371",NA,NA,"5.426292411","7.7919516707","0.215",NA,NA,"0.192","0.239","0.0016318958","190","116429",NA,NA,"612.78421053","0.196",NA,NA,"0.177","0.217","19.172999507","113","573111","15.518500045","22.827498968","19.716948375",NA,NA,NA,NA,NA,NA,"10.723122682","5.5407939659","18.731137341",NA,NA,NA,"21.958488186","17.611349629","27.053471594",NA,NA,NA,"0.338",NA,NA,"0.29","0.39","116429",NA,NA,NA,NA,"0.247",NA,NA,"0.214","0.284"
"01","017","01017","AL","Chambers County","6.3401671944",NA,NA,"5.1622917895","7.5575915407","0.267",NA,NA,"0.24","0.295","0.0001467179","5","34079",NA,NA,"6815.8","0.218",NA,NA,"0.196","0.24","18.914350021","33","168363","12.761432532","27.001410746","19.600506049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.001247354","18.581646403","43.151557223",NA,NA,NA,"0.369",NA,NA,"0.318","0.425","34079",NA,NA,NA,NA,"0.311",NA,NA,"0.271","0.353"
"01","019","01019","AL","Cherokee County","6.138263801",NA,NA,"4.9687418345","7.4274694243","0.195",NA,NA,"0.173","0.219","0.0006623549","17","25666",NA,NA,"1509.7647059","0.2",NA,NA,"0.18","0.221","27.647307483","36","128820","18.65352226","39.468250536","27.945971122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.155225233","20.345603834","43.048459067",NA,NA,NA,"0.325",NA,NA,"0.275","0.378","25666",NA,NA,NA,NA,"0.238",NA,NA,"0.204","0.274"
